Adj Close,Close,High,Low,Open,Volume,SMA20,SMA50,RSI14,MACD,MACD_signal,FracDiff_Close
251.49000549316406,251.49000549316406,252.80999755859375,243.27000427246094,245.07000732421875,115312900,240.34349822998047,256.4837991333008,67.9138548068086,0.7351913066947589,-1.9201768119715936,7.302405403467759
248.5,248.5,256.5199890136719,246.6699981689453,251.22000122070312,118367700,240.50149841308593,256.3289993286133,68.47643854658664,0.7303755501055775,-1.3900663395561594,4.539621026952204
273.5799865722656,273.5799865722656,274.8500061035156,260.6099853515625,264.2699890136719,174667900,242.047998046875,256.6505990600586,71.44595567677597,2.7189618428718916,-0.5682607030705491,31.080685407214673
267.4800109863281,267.4800109863281,278.3900146484375,266.6000061035156,270.760009765625,135999900,243.43399887084962,256.7647994995117,66.67640779892166,3.7593779874103745,0.2972670350256359,12.741362054460154
271.29998779296875,271.29998779296875,274.9800109863281,268.1000061035156,270.07000732421875,111673700,245.3509979248047,256.5943991088867,66.72494928182411,4.836404421553908,1.2050945123312908,16.58418447874243
276.0400085449219,276.0400085449219,276.7099914550781,270.4200134277344,271.32000732421875,107709800,247.872998046875,256.4655990600586,72.79938928498879,6.003234144511026,2.1647224387672384,18.649628538876783
274.3900146484375,274.3900146484375,278.9800109863281,271.0,277.54998779296875,133422800,250.63149871826172,256.4225991821289,69.04663173064496,6.717380606430112,3.0752540722998134,13.564015425009927
265.2799987792969,265.2799987792969,271.44000244140625,263.760009765625,271.1600036621094,101543300,253.12099838256836,256.2395993041992,62.862148028460936,6.473620806618328,3.754927419163517,3.9954795187667287
266.5,266.5,267.8500061035156,261.20001220703125,264.3500061035156,103704000,254.88199844360352,256.17739959716795,55.436312311957366,6.30618948469521,4.265179832269856,9.170938999722665
262.5899963378906,262.5899963378906,273.92999267578125,262.4599914550781,267.0400085449219,122514600,256.35199813842775,256.03339935302733,53.184110766410086,5.791236567297233,4.570391179275332,5.306975894603056
255.6999969482422,255.6999969482422,260.8599853515625,254.2100067138672,257.8500061035156,119531000,257.29399795532225,255.7075994873047,48.748163880055515,4.772156848027123,4.61074431302569,0.3956685183889874
244.8800048828125,244.8800048828125,257.7900085449219,244.47999572753906,257.3999938964844,127524100,258.03599853515624,255.04719970703124,49.92996999700611,3.0562157425472947,4.299838598930012,-6.53926581172729
246.99000549316406,246.99000549316406,247.10000610351562,238.30999755859375,243.3800048828125,104636600,258.45599899291994,254.35939971923827,44.30729286009362,1.8453079081105557,3.8089324607661204,2.0077454653830102
244.1199951171875,244.1199951171875,249.5500030517578,241.66000366210938,242.97999572753906,101993600,258.7209983825684,253.43419952392577,45.22877083453505,0.6466150971992306,3.1764689880527426,-0.07099684150577446
240.5,240.5,245.3300018310547,234.5800018310547,244.25999450683594,136597200,257.8869987487793,252.37739959716797,43.529960899904076,-0.5886750642556251,2.4234401775910692,-1.5596100780747122
246.3800048828125,246.3800048828125,247.5500030517578,238.64999389648438,240.02000427246094,117058900,257.3609992980957,251.47979949951173,48.792988113709455,-1.0807262250087035,1.7226068970711146,6.9575724435841835
250.22000122070312,250.22000122070312,254.77000427246094,246.35000610351562,250.0,128346200,256.9680000305176,251.2261996459961,32.45720181528749,-1.1475959311230213,1.1485663314322874,8.819223583666144
251.60000610351562,251.60000610351562,254.27999877929688,242.6199951171875,244.80999755859375,123810400,257.29750061035156,251.05779998779298,37.16456449315723,-1.0768228506050264,0.7034884950248245,8.12475266188298
246.52999877929688,246.52999877929688,250.02000427246094,244.4499969482422,248.61000061035156,101985300,256.7995010375977,250.60720001220704,30.375557908887373,-1.413547399132824,0.2800813161932947,1.9207640045472942
261.1600036621094,261.1600036621094,261.8599853515625,247.60000610351562,248.13999938964844,129721600,257.26150131225586,250.5248001098633,39.80822009435362,-0.49418820975927247,0.1252274110027812,18.744137550157575
260.04998779296875,260.04998779296875,263.6000061035156,256.25,260.0,119159200,257.6895004272461,250.43879974365234,40.104874090864485,0.1431909514397205,0.12882011909016905,10.789379829273088
260.5299987792969,260.5299987792969,261.6499938964844,250.64999389648438,253.97999572753906,117947000,258.29100036621094,250.53519958496094,46.27918184456462,0.6792217581096622,0.23890044689406773,10.21982095498268
259.6700134277344,259.6700134277344,261.3599853515625,252.0500030517578,255.30999755859375,101377900,257.5955017089844,250.3997998046875,44.6195185466197,1.0228456753690693,0.3956894925890681,8.483732064163746
263.6199951171875,263.6199951171875,268.94000244140625,257.6499938964844,257.75,122656000,257.40250091552736,250.32359985351562,50.81089483618247,1.595508586621321,0.6356533113955187,12.400013564574351
262.989990234375,262.989990234375,268.6000061035156,260.8999938964844,266.20001220703125,103706300,256.9870010375977,250.36199951171875,56.366804666496265,1.9757368758781126,0.9036700242920377,9.589924232719653
258.8699951171875,258.8699951171875,265.4100036621094,256.6300048828125,262.9200134277344,111508100,256.1285003662109,250.45719940185546,63.83776970013094,1.9224604336013442,1.107428106153899,5.1145775065607495
251.1199951171875,251.1199951171875,259.6000061035156,250.22000122070312,258.8999938964844,102073800,254.96499938964843,250.29319915771484,53.675020753738856,1.2405776320044595,1.1340580113240113,-0.8894152871943106
253.9199981689453,253.9199981689453,255.39999389648438,248.47999572753906,250.0500030517578,88917200,254.39699935913086,250.29439910888672,58.7312911972954,0.9155633997595771,1.0903590890111245,6.06375626393455
254.85000610351562,254.85000610351562,257.17999267578125,247.0800018310547,250.10000610351562,93562900,253.81449966430665,250.36239929199218,63.42878520900505,0.724677515718497,1.017222774352599,6.63282559524464
